departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 16:13, 2025-09-29 17:03, 1, taxi, 32, walk, 06
2025-09-29 16:13, 2025-09-29 17:06, 1, taxi, 32, walk, 08
2025-09-29 16:15, 2025-09-29 16:51, 0, taxi, 36, walk, 00
2025-09-29 16:16, 2025-09-29 17:03, 1, taxi, 32, walk, 06
2025-09-29 16:20, 2025-09-29 16:56, 0, taxi, 36, walk, 00
2025-09-29 16:25, 2025-09-29 17:01, 0, taxi, 36, walk, 00
2025-09-29 16:30, 2025-09-29 17:06, 0, taxi, 36, walk, 00
2025-09-29 16:33, 2025-09-29 17:28, 1, taxi, 35, walk, 14
2025-09-29 16:35, 2025-09-29 17:11, 0, taxi, 36, walk, 00
2025-09-29 16:40, 2025-09-29 17:16, 0, taxi, 36, walk, 00
2025-09-29 16:45, 2025-09-29 17:21, 0, taxi, 36, walk, 00
2025-09-29 16:50, 2025-09-29 17:26, 0, taxi, 36, walk, 00
2025-09-29 16:55, 2025-09-29 17:31, 0, taxi, 36, walk, 00
2025-09-29 17:00, 2025-09-29 17:36, 0, taxi, 36, walk, 00
2025-09-29 17:05, 2025-09-29 17:41, 0, taxi, 36, walk, 00
2025-09-29 17:09, 2025-09-29 17:57, 1, walk, 03, taxi, 12
2025-09-29 17:09, 2025-09-29 18:03, 1, walk, 03, walk, 06
2025-09-29 17:10, 2025-09-29 17:46, 0, taxi, 36, walk, 00
2025-09-29 17:13, 2025-09-29 18:03, 1, taxi, 32, walk, 06
2025-09-29 17:13, 2025-09-29 18:06, 1, taxi, 32, walk, 08
2025-09-29 17:15, 2025-09-29 17:51, 0, taxi, 36, walk, 00
2025-09-29 17:16, 2025-09-29 18:03, 1, taxi, 32, walk, 06
2025-09-29 17:20, 2025-09-29 17:56, 0, taxi, 36, walk, 00
2025-09-29 17:25, 2025-09-29 18:01, 0, taxi, 36, walk, 00
2025-09-29 17:30, 2025-09-29 18:06, 0, taxi, 36, walk, 00
2025-09-29 17:33, 2025-09-29 18:28, 1, taxi, 35, walk, 14
2025-09-29 17:35, 2025-09-29 18:11, 0, taxi, 36, walk, 00
2025-09-29 17:40, 2025-09-29 18:16, 0, taxi, 36, walk, 00
2025-09-29 17:45, 2025-09-29 18:21, 0, taxi, 36, walk, 00
2025-09-29 17:50, 2025-09-29 18:26, 0, taxi, 36, walk, 00
2025-09-29 17:55, 2025-09-29 18:31, 0, taxi, 36, walk, 00
2025-09-29 18:00, 2025-09-29 18:36, 0, taxi, 36, walk, 00
2025-09-29 18:05, 2025-09-29 18:41, 0, taxi, 36, walk, 00
2025-09-29 18:10, 2025-09-29 18:46, 0, taxi, 36, walk, 00
2025-09-29 18:13, 2025-09-29 19:03, 1, taxi, 32, walk, 06
2025-09-29 18:13, 2025-09-29 19:06, 1, taxi, 32, walk, 08
2025-09-29 18:15, 2025-09-29 18:51, 0, taxi, 36, walk, 00
2025-09-29 18:16, 2025-09-29 19:03, 1, taxi, 32, walk, 06
2025-09-29 18:20, 2025-09-29 18:56, 0, taxi, 36, walk, 00
2025-09-29 18:25, 2025-09-29 19:01, 0, taxi, 36, walk, 00
2025-09-29 18:30, 2025-09-29 19:06, 0, taxi, 36, walk, 00
2025-09-29 18:33, 2025-09-29 19:28, 1, taxi, 35, walk, 14
2025-09-29 18:35, 2025-09-29 19:11, 0, taxi, 36, walk, 00
2025-09-29 18:40, 2025-09-29 19:16, 0, taxi, 36, walk, 00
2025-09-29 18:43, 2025-09-30 04:03, 2, taxi, 31, walk, 06
2025-09-29 18:45, 2025-09-29 19:21, 0, taxi, 36, walk, 00
2025-09-29 18:50, 2025-09-29 19:26, 0, taxi, 36, walk, 00
2025-09-29 18:55, 2025-09-29 19:31, 0, taxi, 36, walk, 00
2025-09-29 19:00, 2025-09-29 19:36, 0, taxi, 36, walk, 00
2025-09-29 19:05, 2025-09-29 19:41, 0, taxi, 36, walk, 00
2025-09-29 19:10, 2025-09-29 19:46, 0, taxi, 36, walk, 00
2025-09-29 19:15, 2025-09-29 19:51, 0, taxi, 36, walk, 00
2025-09-29 19:20, 2025-09-29 19:56, 0, taxi, 36, walk, 00
2025-09-29 19:25, 2025-09-29 20:01, 0, taxi, 36, walk, 00
2025-09-29 19:30, 2025-09-29 20:06, 0, taxi, 36, walk, 00
2025-09-29 19:35, 2025-09-29 20:11, 0, taxi, 36, walk, 00
2025-09-29 19:40, 2025-09-29 20:16, 0, taxi, 36, walk, 00
2025-09-29 19:45, 2025-09-29 20:21, 0, taxi, 36, walk, 00
2025-09-29 19:50, 2025-09-29 20:26, 0, taxi, 36, walk, 00
2025-09-29 19:55, 2025-09-29 20:31, 0, taxi, 36, walk, 00
2025-09-29 20:00, 2025-09-29 20:36, 0, taxi, 36, walk, 00
2025-09-29 20:05, 2025-09-29 20:41, 0, taxi, 36, walk, 00
2025-09-29 20:10, 2025-09-29 20:46, 0, taxi, 36, walk, 00
2025-09-29 20:15, 2025-09-29 20:51, 0, taxi, 36, walk, 00
2025-09-29 20:20, 2025-09-29 20:56, 0, taxi, 36, walk, 00
2025-09-29 20:25, 2025-09-29 21:01, 0, taxi, 36, walk, 00
2025-09-29 20:30, 2025-09-29 21:06, 0, taxi, 36, walk, 00
